node,var_name,var_description,expanded_description,num_of_state
1,Age,年龄,表示驾驶员的年龄。,2
2,SocioEcon,社会经济地位,表示驾驶员的社会经济地位。,2
3,RiskAversion,是否规避风险,表示驾驶员是否倾向于规避风险。,2
4,GoodStudent,是否是一名优秀的学生驾驶员,表示驾驶员是否是一名优秀的学生驾驶员。,2
5,SeniorTrain,是否接受过额外的驾驶培训,表示驾驶员是否接受过额外的驾驶培训。,2
6,DrivingSkill,驾驶技能,表示驾驶员的驾驶技能水平。,2
7,MedCost,医疗费用,表示因交通事故导致的医疗费用。,2
8,OtherCar,事故中是否涉及其他车辆,表示事故中是否涉及其他车辆。,2
9,MakeModel,是否拥有一辆运动型汽车,表示驾驶员是否拥有一辆运动型汽车。,2
10,VehicleYear,车辆的年份,表示车辆的制造年份。,2
11,HomeBase,居住的社区类型,表示驾驶员居住的社区类型。,2
12,AntiTheft,汽车是否配备防盗装置,表示汽车是否配备了防盗装置。,2
13,DrivHist,驾驶历史,表示驾驶员的驾驶历史。,2
14,DrivQuality,驾驶质量,表示驾驶员的驾驶质量。,2
15,Airbag,是否配备气囊,表示汽车是否配备了气囊。,2
16,Antilock,是否配备防抱死制动系统（ABS）,表示汽车是否配备了防抱死制动系统（ABS）。,2
17,RuggedAuto,汽车的坚固程度,表示汽车的坚固程度。,2
18,CarValue,汽车的价值,表示汽车的价值。,2
19,Mileage,汽车的行驶里程,表示汽车的行驶里程。,2
20,Accident,事故的严重程度,表示事故的严重程度。,2
21,Cushioning,汽车内部缓冲的质量,表示汽车内部缓冲的质量。,2
22,Theft,汽车是否被盗,表示汽车是否被盗。,2
23,ILiCost,检验费用,表示因交通事故导致的检验费用。,2
24,OtherCarCost,其他车辆的费用,表示事故中其他车辆的费用。,2
25,ThisCarDam,本车的损坏程度,表示本车在事故中的损坏程度。,2
26,ThisCarCost,保险车辆的费用,表示保险车辆的费用。,2
27,PropCost,两辆车费用的比例,表示事故中两辆车费用的比例。,2
